Answer,Question,
0,Most children receiving special education services do so in separate classrooms with special education teachers.,
0,most compositions have one type of texture exclusively,
1,Most conflicts contain elements of disagreement about content and relationship,
0,most consumers are individuals who make decisions in a unique way,
1,Most convenience foods cost more than homemade ones,
1,Most corporate define benefit plans provide for benefits guaranteed by the PBCG,
0,Most films privilege asynchronous sound over synchronous sound,
0,Most hate crimes are committed by organized hate groups and their members.,
1,Most Koreans who have emigrated elsewhere are Christians.,
1,Most large musical ensembles need a conductor in order to perform together,
1,Most lipid synthesis occurs on the cytosolic leaflet of the smooth ER,
1,Most mainstream Hollywood films tend to show and event only happening once,
0,most marketing intelligence techniques are illegal or unethical,
1,Most medicines attach to binding proteins,
1,Most new microwave ovens produce a maximum wattage of 600-1100 watts,
0,Most of the people of Japan are Japanese but there is a sizable Chinese minority.,
1,Most of the Protestant population in Chad is Evangelical.,
1,Most of the world's people live in moderately developed countries.,
0,Most organelles have their own DNA,
1,most people begin their career by accepting an entry-level job within a company,
0,most people can pay for a home without borrowing,
0,Most preschool children tend to like spicy foods with crunchy textures,
0,Most Roman Catholics in Mexico are quite devout.,
0,Most scales used for measuring psychological variables are either ratio or interval,
0,Most school superintendents and principals claim that the quality of new teachers has declined.,
1,most service businesses do not use a channel of distribution,
0,"Most soleproprietorships have many employee's, creating managment difficulties.",
1,Most thermodynamic equations are functions with several variables,
0,Most Vietnamese are still committed to the Communist revolution.,
0,Most young people do not qualify to use the simplest of the tax forms -- 1040EZ,
0,Mothers are more likely than fathers to abuse their children,
1,Movement of molecules through channels is faster in comparison with the rates achieved by transporters,
1,Multiple regression uses more than one predictor variable,
1,musical structure generally features a balance between unity and variety,
0,Muslim Sharia law tends to eliminate government corruption.,
0,Muslims and Christians have settled into peaceful coexistence,
1,Mutliway selection chooses among several alternatives,
1,Myanmar is governed by an oppressive military regime.,
0,Myanmar is over 95% Buddhist.,
0,Myanmar's government has killed almost all its Buddhist monks.,
0,NaCI is a molecular,
1,NAFTA required that tariffs on most goods produced and sold in North America be gradually eliminated by the year 2009,
1,"Needs are the things you cannot live without, and wants are the things you would like to have but can live without",
0,"Negotiable instruments payable ""to bearer"" are considered the safest form.",
0,Nepal is less than 1% Evangelical.,
1,Nepal is one of the poorest countries in the world.,
0,Nepal is predominately Muslim.,
1,Nernst equation describes the condition when an ion is in equilibrium across a membrane,
1,Net income is the amount you receive after withholdings are subtracted from your gross pay,
1,Neuroplasticity refers to the brain's ability to change its structure and function in response to injury or experience.,
0,Neutrality is a supportive conflict management strategy,
0,"New technology increases the need for more workers to produce a given amount of output, thereby lowering the unemployment rate.",
1,"New Zealand has a very large ""non-religious"" minority.",
0,New Zealand is largely rural and has no cities over one million people.,
1,New Zealand is one of the most missionary minded nations in the world.,
1,Newspaper advertisements can attract well-qualified sales job applicants.,
1,NIBRS provides more information about victims of crime than the UCR.,
1,Nicaragua is experiencing a dramatic turning to God.,
0,Nicaragua is the only nation in the world to have experienced peace and prosperity under a Marxist government.,
0,Nicodemus asked for for permission to bury Jesus and brought aloe and myrrh for a traditional Jewish burial,
1,Niger is next to last in the world's UN HDI rankings.,
1,Niger is one Muslim land open to the gospel.,
1,Nigeria has seen some of the largest prayer meetings in history,
1,"Nigeria is a major, missionary-sending nation.",
0,Nigeria is one African country largely free of AIDS.,
1,Nigeria is one of the most Corrupt countries in the world,
1,Nigeria is the most populous nation in Africa.,
0,Nigeria's Independent churches are almost all cultic,
0,Nitride ion would have a charge of -2,
0,"No Child Left Behind and ""Head Start"" are popular reading programs in the elementary schools of the United States.",
1,No code is contained in a structure chart as it only demonstrates the function flow of the program,
1,No energy is required to maintain the state of thermodynamic equilibrium,
0,No one should hesitate to self-disclose information about himself or herself regardless of the immediate audience.,
1,No two switch case labels can represent the same constant expression vlaue,
0,Nominal scales can be used either qualitatively or quantitatively,
0,Non-descrimination rules have no effect on highly compensated participants of a 401k,
1,Non-diet soft drinks are the #1 source of added sugars in the US diet,
1,"Non-equilibrium thermodynamics is most successful in the study of stationary states, where there are no forces, flows and entropy production",
1,Non-equilibrium thermodynamics is the systematic study of transformation of matter and energy in systems as they approach equilibrium,
0,Nonpolar molecules such as steroids and O2 cannot diffuse through biological membranes by non-mediated transport,
1,nonvertex angles each measure 138°.,
1,North Korea was where the Korean revival was born,
1,North Koreas has one of the most repressive regimes in the world.,
0,Nuclear pores have a functional radius of about 9 Å through which proteins and nucleic acids enter and leave the nucleus,
0,"Numerous major species are becoming extinct, killed by human activity.",
1,Nutrition labeling can help shoppers see how their food choices fit in the Dietary guidelines for Americans,
1,Objects with a global scope are visible (defined) everywhere in the program,
1,offscreen space is diegetic,
0,Oil and coal—not cocaine— are its chief exports.,
1,"on a right triangle, the side across from the right angle is always the longest side",
1,On the final pass through the selection sorting algorithm two values are brough over from the unsorted list into the sorted list,
0,"Once a bankruptcy is finished, bankrupts are relieved of paying all debts.",
0,"Once inherited, criminal genes inevitably produce antisocial behavior.",
1,One can appropriately apply the binomial distribution if P = 0.37 and Q = 0.63,
1,One can look at picking a winner or not picking a winner in a series of races at the track as fitting the requirements of the binomial distribution (assuming that each horse has an equal chance of winning a particular race and there are the same number of horses in each race),
0,One disadvantage of online grocery shopping is the consumer's inability to read the product nutrition information,
0,One distinguishing feature between industrial economies and developing economies is the age of the population .,
0,One factor in the stalled revolution and gender equality is the rise of video games that man land to play instead of cleaning up after themselves,
1,"One mole of a substance has the same number of particles as one mole of any other substance, regardless of what substances are being compared",
0,"One mole of a substance has the volume as one mole of any other substance, regardless of what substances are being compared",
0,One of the benefits of so many years in the classroom as students is that the first year of teaching hold few surprises for new teachers.,
1,One of the main pressures on schools to use technology comes from the business sector.,
1,One of the principal duties of a plan administrator is to comply with the reporting and disclosure requirements of ERISA,
1,"One of the""half-truths"" that has influenced the erosion of character in business is that:""Corporations exist to maximize shareholder value.""",
1,One out of seven Chilean women is a mother by age 14.,
1,"One prgramminh technique to simplify code is to use parenthesis, even when unnecessary",
0,One purpose of brand advertising is to narrow the value gap so that consumers are willing to pay premium price,
0,One reason a resource supply slopes upward is that resource owners are less able too supply the resource at a higher price.,
1,One reason for constructing frequency distributions is to be able to visualize the shape of the distribution,
1,One reason that sociologists are interested in the topic of sexuality is because of social changes in attitudes and behaviors around sex,
1,One recommended way to resist the pressure to self-disclose is toe be indirect and change the topic.,
1,One way to increase accuracy in perception is to reduce your uncertainty.,
1,Only one-tenth of Christians attend church.,
0,Only plants preform photosynthesis while only animals aerobically respire.,
1,Only the statements associated with the first true condition are executed in a multiway else if construct,
1,"Onsager showed that near equilibrium, the flux matrix is symmetric",
1,open enrollment means that during a specified time each year employees may sign up for the employer-sponsored health insurance plan,
0,Opportunity costs are always measured in dollars amounts.,
1,Opposite angles in a parallelogram are always congruent,
0,Oppression of Christians in Cuba has largely disappeared.,
1,Orders to pay include drafts and checks,
0,Organic molecules can only be made by living organisms,
0,Orientation of molecules during a reaction does not affect the production of products,
0,Ouabain is an animal hormone that functions to regulate Na+ and overall body salt and water balance,
1,Our confidence in scientific knowledge should be proportional to the evidence supporting it.,
0,outdoor advertising has become less popular in recent years,
1,Outer core of earth does NOT contain silicates,
1,Over 40% of students in public elementary and secondary schools are from minority groups.,
0,Over 80% of Brazilians are Portuguese.,
0,"Over the past few decades, fertility rates in developing countries have decreased, while fertility rates have increased in developed countries.",
1,Over the past two decades Uganda has seen a significant improvement in peace and stability.,
1,"over the years identification, information and persuasion have been the basic functions of advertising",
1,Overstructured sales demonstrations may cause a customer to feel like a number.,
1,Oxidation and reduction occur simultaneously in living organisms,
1,Oxidation of food Is always coupled with the formation of ATP and this process can take place even in the absence of oxygen,
1,Oxygen has electronegativity than Nitrogen,
0,Oxygen is required for glycolysis to occur.,
1,Panama has a substantial Jewish population.,
0,Panama is the one central American country to have a low Evangelical population.,
1,Parallax is the apparent change in location of an object due to the motion of the observer,
1,Parameters are defined as local variables in the function header and should not be re defined within the local declaration section of the function,
0,Parameters being recieved by a function will be commented to the right of where they are defined,
1,Park and Burgess found that as their economic positions improved inner-city residents tended to move to outer zones.,
0,participants in a defined benefit plan can make investment changes to their accounts at least quarterly,
1,Participants of a plan that is terminating become 1005 vested at the time of termination,
1,Particular judgment occurs at the moment of death,
1,Passing the array name to a function allows changes in the called function to be available back in the calling function after it terminates,
0,Passionate love is more likely than compassionate love to lead to a long-term intimate relationship,
1,Past service credit can be given only in a defined benefit plan,
0,Past service credit can be given to only non-highly compensated participants of a 401k plan,
0,Past service credit is part of the design of most profit sharing plans,
0,Patrick heard about the death of the bishop on his way back to Britain,
1,Patrick wrote a book called The Confessions,
1,Pearson r is the slope of the least squares regression line when the scores are plotted as z-scores,
0,People are either ethnocentric or not ethnocentric.,
0,People buy corporation's stock because they like the good that is produced by that firm.,
0,"People employed in the fast-paced business world, which is constantly changing, will adopt or discard values quickly.",
1,People must be interdependent to engage in interpersonal conflict,
0,People who are born with reproductive or sexual anatomy that doesn't fit the typical definitions of female or male are usually referred to as transgender,
0,People who are smuggled are victims.,
1,People who have above average income are more likely to use Chapter 13 bankruptcy rather than Chapter 7.,
1,People who save delay present consumption for a greater ability to consume in the future.,
0,Peptide bonds are formed between two amine groups of amino acids,
1,"Periodically, the earth's magnetic field reverses; that is, the north and south magnetic poles switch polarity",
0,Peripheral proteins project out from the membrane,
1,permanent life insurance provides a death benefit plus a savings plan,
1,"personality is a well-defined, enduring pattern of behavior",
1,Philosophical questions about the nature of reality fall under the heading of metaphysics.,
1,Phospholipid bilayer membranes are impermeable to charged molecules,
1,Pigments associated with photosynthesis are hydrophobic molecules.,
1,Pilate finds no crime in Jesus,
0,Pilate was afraid someone would steal the body of Jesus so guards were stationed at the tomb,
0,Pilate's wife does not try to stop her husband from crucifying Jesus because he is a righteous man,
1,Pillow lavas are associated with submarine basaltic eruptions,
1,Pitch does not refer to the tone quality of sound,
1,Placing the subscript of an element inside of square brackets is known as indexing,
1,Plants need a more or less continuous supply if water to replace that lost in transpiration.,
0,"Plastic utensils can be used in a microwave oven, in a conventional oven, or on a range top",
1,Plato believed that arriving at knowledge is a process of recollection.,
1,Plato believed that there were levels of reality that transcended the world of sense experience.,
1,Plato felt that music without words was lacking in artistic taste,
1,Plato referred to Socrates' method as dialectic.,
0,Plot is everything that is visible and audibly presented and also what we infer,
0,Plowing improves aeration and infiltration.,
0,Poiseuille showed that respiration is simply an oxidative chemical reaction,
1,"Poland disappeared as an independent nation in the 18th century because Russia, Prussia, and Austria annexed Polish territories.",
0,Politicians frequently consult with criminologist when developing new crime legislation.,
1,Poly saccharides would most likely be an example of pinocytosis,
1,Polygenism is the belief that there are many sets of first parents,
1,polyrhythms are characteristic of musics of many African cultures,
1,Poor conventional coping skills can increase the likelihood of criminal behavior.,
1,Poor countries are poor because they experience low labor productivity.,
0,Population decline is caused exclusively by a high death rate,
1,Population profiles for developing countries typically have a pyramidal shape.,
0,Positioning is directly related to market segmentation and targeting,
1,Positivism emphasizes measurement and observation.,
0,Positivism is based on a belief in free will.,
0,possession utility does not occur until the consumer owns the product,
0,Posting a part of a transaction to the wrong account will cause the trial balance totals to be unequal,
1,Potential energy can be transformed into kinetic energy.,
1,Potential energy is due to the composition or position of an object,
0,Potential energy is the energy of motion,
0,Poverty is virtually unknown in Panama.,
1,Power and beta are inversely related,
1,"Power is a measure of the sensitivity of an experiment to detect the real effects of the independent variable, if there are any",
0,Power varies from -1 to +1,
1,Prefrontal cortex problems may predispose someone to criminality.,
0,"Preparing foods from scratch gives meal managers less control over the amount of fat, salt, and sugar used",
0,Present rends tend to continue indefinitely.,
1,Principalities direct the implementation of God's will,
0,Producers pffer more for sale when the price decreases because they need to sell more to make a profit.,
0,Producing at the lowest possible cost per unit guarantees that firms are producing what consumers most prefer.,
1,product and distribution are important to producers and manufacturers,
1,Product disparagement constitutes a type of business defamation.,
1,Production cannot occur without savings from prior period.,
1,Productivity measures how effectively resources are employed.,
1,Productivity resources are the inputs used to produce the goods and services that people want.,
0,Products and sbstrates are the same thing,
1,products should be safe for consumers who use them according to directions,
1,Proficiency in sending and receiving nonverbal messages can directly affect a person's popularity.,
1,Profit sharing plans are most often used by companies that have inconsistent profits,
1,Profit= Total revenue - Total cost.,
1,"Progressive educators view nature as being in flux, as ever changing. Therefore, teachers consider knowledge as something that must continually be redefined and rediscovered to keep up with the change.",
0,Promises to pay include drafts and checks,
0,Prospects are often willing to participate in a presentation held off premises.,
0,Proteases break down RNA,
0,Proteins move quickly through the lipid bilayer,
1,Proteins travel from the golgi apparatus to the rough ER to be secreted and function,
0,Protestant Evangelicalism has found Ethiopia an oppressive environment and growth has been slow.,
1,Proton gradient powers the sythesis of ATP,
1,"puffery, innocent exaggeration, is legal",
1,Pure relationships are those entered for what each partner can get from them,
0,Purgatory is permanent,
0,Q is the vertex of <QWE,
1,r2 is called the coefficient of determination,
0,Rachel received a vision of God about her two sons and the birthright,
0,racking focus involves moving the camera to change focus,
1,Rapid population growth occurs in Phase II of the demographic transition.,
0,Rational choice theory recognizes that not everyone is capable of making rational decisions.,
0,Raymond is skilled in social media. A social movement scholar would identify Raymond as a moral resource,
1,Real estate is typically financed by borrowing money and securing the loan with a mortgage.,
1,Recent research suggests that there is no relationship between the XYY chromosomal pattern and excessive violent behavior.,
1,Recursion should not be used with event-controlled processes as the result may be more function calls than the memory of the computer can accommodate,
1,Recursive solutions may require heavy use of the limited resources of the computer because they involve a potentially large number of function calls,
1,recycling programs reduce the amount of trash discarded into the environment,
0,Red and blue in redshift and blueshift refer to color,
1,Reductionism tries to simplify large/difficult concepts in science,
0,Reflecting telescopes are no longer popular with astronomers because they are expensive and suffer from chromatic aberration,
1,"Regardless of how a substance moves passively through the membrane- through the lipid bilayer or through a membrane protein, the direction of the overall driving force acting on it determines the direction of net transport",
1,"Regardless of whether H1 is directional or nondirectional, when evaluating H0 we always assume chance is responsible for the differences in results between conditions",
1,Regions of the seafloor with positive magnetic anomalies were formed during times when Earth's magnetic field had normal polarity,
0,Regions outside the boundaries of the system are termed extra system,
0,Rehearsal of a sales demonstration is not important if the demonstration is well planned.,
0,Religious terrorists seek to destroy economies based on free enterprise.,
1,Renaissance artists viewed the medieval past with disdain for what they perceived to be its backwardness.,
0,Renaissance artists viewed the medieval past with great interest because it served to inspire their own works of art.,
0,Renaissance artists viewed the medieval past with the same reverence that they held for the classical past.,
0,Renaissance artists viewed the medieval past with tremendous respect.,
1,René Descartes was more certain about the existence of his mind than the existence of his body,
0,Rene Descartes was the father of the experimental method.,
0,Renewable energy is beginning to dominate the picture and is one prediction the environmentalist were right about.,
0,Research clearly shows that charter schools are academically superior to regular schools.,
0,Research shows that academically effective schools are good at remaining independent of parental involvement.,
1,Research studies indicate that the practice of tracking students into different ability-level groups is detrimental to low-ability students.,
1,Researchers are trying to limit the amount of chemicals needed to produce foods,
1,Resource suppliers tend to be more willing and able to supply the resource as its price increases.,
0,resources are unlimited,
1,Restorative justice emphasizes making the victim whole again.,
1,Restricting the range of either X or Y will generally lower the correlation between the variables,
1,Reuben first tries to save Joseph from being killed,
1,Revenue accounts are increased by credits,
1,"Reversible thermodynamic process is a process, which develops so slowly as to allow each intermediate step to be an equilibrium state",
1,Revolutionaries seeking to overthrow al establishes forms of government are known as anarchist terrorist.,
1,Richard Hernstein and Charles Murray claims that differences in learning and schooling are largely the determined by differences in intelligence,
1,Richard Taylor's agency theory is a form of libertarianism.,
0,Richter scale is used to assess the effects of an earthquake on humans and human-made structures,
1,RNA is made in the nucleus even though its function in translation occurs in the cytoplasm.,
1,Rocks are aggregates of one or more minerals,
1,Rocks possessing paleomagnetism indicate the direction of the magnetic poles at the time the rocks crystallized,
1,Rodrigo lends money to Isaac on Linda's promise to act as a surety. Rodrigo's extension of credit is the consideration to support Isaac's promise to repay the loan and Linda's suretyship undertaking.,
1,Rotating tasks on a time work schedule from one time to the next gives everyone a range of kitchen experience,
1,S waves can only travel through a solid medium,
0,Saint Patrick was born in Ireland,
0,Saint Patrick was considered very late becoming a Christian,
0,Salaries for private school teachers are only slightly less than those of public school teachers.,
0,Samson commits suicide,
1,Saul commits suicide,
0,Saving for retirement should only be done when other expenses are met,
0,Saving money in the grocery store often requires sacrificing good nutrition,
0,Seafloor spreading creates new continental crust,
0,Second thing Abram does whenhe arrives in Canaan is to build an altar,
1,Secondary victimization refers to an individual who is not directly affected by a crime but who suffers unintended consequences as a result of the victimization of a family member.,
0,Secular music is generally intended for religious occasions,
1,Secularization refers to the decline of the significance of religion at the societal and individual levels,
0,Seismographs can only detect earthquakes within 500 miles of the instrument,
1,Seismographs record earthquakes by producing a squiggly diagram called a seismograph,
1,Selection by itself is not sufficient for input validation because it provides only a finite number of opportunities for the user to input valid data,
1,Selective disinhibition focuses on explaining the role that alcohol plays in homicide.,
1,Self awareness is basic to all communication,
1,Self-report surveys provide information on the dark figure of crime.,
1,selling is part of the promotion element of the marketing mix,
0,Sending an innocent person to jail is an example of a type II error.,
0,Seraphim the order of angels that Satan was a former member of,
1,service industries provide services as their products instead of a physical product,
1,Setting a guilty person free is an example of a type II error.,
0,Seven binary decisions will be sufficient to guess a card from a 32- card deck,
1,Shadows often accompany hard lighting,
0,Shawna believes that gay people are inferior to heterosexuals Shawna's belief is called Homo sexism,
0,"Sight is considered the most powerful attention-attracting sense; therefore, it is the most important motivating force in every selling situation.",
0,Silence tends to serve the same functions is most cultures.,
1,Simple diffusion means that molecules can pass directly through the membrane,
1,"simple interest is earned on just your principal, not on the interest earned previously",
0,"Since graphs are usually quite descriptive, no interpretation is necessary for the prospect to understand the material.",
0,"Since San Fransisco has already experienced a very destructive earthquake in 1906, it is not likely to experience another",
1,Singapore is 100% urban.,
1,Singapore's birthrate is one of Asia's lowest.,
1,sister- brother companies would be an example of a controlled group,
1,Situational crime prevention works by removing criminal opportunity.,
1,Small amounts of oils are necessary for good health,
1,"Small changes in a state function with several variables can be represented by a total differential. for this, all partial differentials of this function must be added",
0,Small talk only happens in person and not in computer mediated communication,
1,soap has a hydrophobic and hydrophilic end on it,
0,"Social Media Advertising has nothing to do with ""native advertising""",
0,Social security act was passed in 1965,
0,Social security benefits are always 100% taxable,
1,Social security benefits are not payable to someone who works for the railroad,
0,Social security is overseen by the IRS,
0,Social security payments automatic and do not have to be applied for,
0,"Social security provides benefits at the occurrence of retirement, death, of financial hardship",
0,Social security provides for unlimited retirement benefits based on lifetime earnings,
0,"Social security replaces most of the retirement income needed by Americans making over $100,000 at the time of their retirement",
1,Social structural theories see economic disenfranchisement as a fundamental cause of crime.,
0,Socrates was brought to trial on the charges of being an atheist and a pacifist.,
0,Socrates was punished for his ideas by being forced to leave Athens and go into exile.,
1,Sodium and Potassium ions would be part of an electrochemical gradient,
1,Soil horizon O contains the most organic material,
0,Sole proprietorships generate almost 75 percent of all U.S business sales.,
1,some advocates of advertising maintain that it is most efficient and economical means to provide consumers with beneficial information about availability of products and services,
1,some businesses do not see the specific needs of consumers as important,
0,Some communication has no effect on those involved in the process.,
1,Some determinists believe that it is God who determines all events.,
1,Some jobs pay more because they require a long and expensive training period.,
1,Some of the largest churches in Latin America and in El Salvador.,
1,"Some of the most effective sales demonstrations combine telling, showing, and involvement of the prospect.",
1,"Some partners may pause during deterioration and try to seek repair, while others may progress without stopping to dissolution.",
1,Some single replacement reactions are not possible depending on the activity of the different elements participating in the reaction,
0,Some states still do NOT consider spousal rape to be a crime.,
1,Souls in purgatory can go to heaven,
0,Souls in purgatory can go to hell,
0,Souls in purgatory can stay there forever,
0,Sound fidelity has to do with what is originally used to produce sound.,
0,South Africa's whites have almost all fled the country,
1,South Korea has one of the most mission minded churches in the world.,
1,South Korea was one of the worlds larger economies in the world.,
0,South Korean culture is averse to large churches and when they reach approximately 1000 in attendance they plant new churches.,
0,South Korean religious leaders are obligated by their congregations to live a simple economic lifestyle.,
1,Spanish decline in the 17th century was caused by too many foreign military commitments.,
0,Specialization and comparative advantage help explain why households are self-sufficient than in previous generations.,
0,Specialized choirs that perform with organ are called a cappella ensembles,
0,spending money on marketing reduces a company's profit in the long run,
1,Spontaneous reactions always increase entropy,
1,Sport drinks can help replace carbs and sodium as well as water loss through physical activity,
1,State-sponsored terrorist groups are deliberately employed by radical states as foreign policy tools.,
0,Stem cells contain a haploid number of chromosomes.,
1,"Stir frying and microwaving are low fat cooking methods recommended for preparing meat, poultry and fish",
1,Stock price normally fluctuate directly with the firm's potential foe earning a profit.,
0,Stranger violence causes more distress for victims than intimate personal violence.,
1,Stress may lead to aggression toward oneself as well as toward others.,
1,String instruments are generally played by either bowing or plucking,
1,Studies show that children who eat breakfast do better in school than children who skip breakfast,
1,stuffing your receipts into a grocery bag won't create an efficient filing system,
1,Subcultures of violence expect their members to be violent.,
1,successful businesses continually consider the customers' wants and needs,
0,Suicide is rare in Japan.,
1,Sunglasses may be regarded as communication noise.,
1,supplementary,
0,Suppliers' desire to eliminate a surplus puts Upward pressure on the price.,
1,Supply-side economics stimulates aggregate supply by cutting taxes.,
1,Suppose the overall Enthalpy of a reaction delta H= -36 kJ. This means that the reaction releases 36 kJ of heat,
1,Sureties have a right of exoneration against their cosureties.,
1,Surface along which rock on opposed sides is offset by an earthquake-induced slip is called a fault,
1,syncopation is a rhythmic characteristic of American Jazz,
1,syncopation is a typical of African American dance music and spirituals,
1,Systems biology looks at the connection between structure and function,
0,Taking social security benefits at age 62 instead of normal retirement age is always advisable,
1,Tanzania is yet another victim of Socialism.,
1,Target benefit plans are defined contribution plans that look like defined benefit plans,
0,Tattoos and piercings continue to be seen as culturally deviant,
0,tax preparers are particularly busy every August,
1,Taxes deducted from an employees's earnings to finance social security and medicare benefits are called FICA taxes,
0,tcrit must always be positive,
0,TdS is the energy available for doing useful work,
0,Teachers who suspect that a student in his or her class has suffered child abuse must use discretion in deciding whether to file a report.,
1,Technological change may lead to workers losing their jobs in some industries.,
0,Technology produces a generation of rote learners.,
0,Teenage boys usually experience a growth spurt at an earlier age than teenage girls,
0,"Teg demand curve for loans slopes downward, indicating decrease in borrowing when there is a decrease in interest rates.",
1,"Telescopes in space do not have the ""seeing"" issues of ground-based telescopes",
0,Temperature and pressure are extensive variables,
1,Temperature is defined as the average kinetic energy of the particles in a sample of matter,
0,"Tempos and dynamics are dictated by composers, and performer have no role in interpreting these elements",
1,Ten million Brazilian children live on the streets.,
0,term life insuracne has a cash value,
1,Ternary form is best outlined as A-B-A,
1,Terrorism generally is not carried out by the army of a country.,
0,Terrorism is frequently committed impulsively.,
0,Terrorism is rarely aimed at civilians.,
0,Terrorists are motivated by financial gain.,
1,Thailand is one of the few countries in the world that has never been ruled by a wester power.,
1,That Barack Obama can be seen as black even though he had a white mother is the legacy of a hypodescent rule,
0,"The ""Rosary Belt"" is a traditional roman Catholic religious artifact.",
0,"The ""three economic questions"" are asked and answered independently and have nothing to do with each other.",
0,"The ""untouchables"" or Dalit form about 70% of India's population.",
1,"The (Na+-Ka+) ATPase has two conformational states (E1 and E2) with different structures, different catalytic activities, and different ligand specificities",
1,The (Na+-Ka+) ATPase is an antiporter that generates a charge separation across the membrane,
0,The 100 percent or straight commission plan is one of the best compensation methods if your goal is long-term customer development.,
0,The 1st place Jesus goes to after he is arrested is Caiaphas' house,
1,The 80/20 rule is the key principle to remember when you think of heavy usage. even if few products meet the rule exactly,
1,the accrued benefit in a defined benefit plan is the benefit that a participant has earned to date,
1,The accrued benefit in a defined benefit plan is the benefit the participant has earned to date,
0,The ACLU has publicly supported the USA PATRIOT Act,
0,the ACP test in a 401k pertains to employee deferrals,
1,the act of shifting all the tones of a musical composition a uniform distance to a different pitch level is called transposition,
0,The actual occurrence of all crimes reported to NCVS interviewers is verified before the information is incorporated into the NCVS data.,
0,The address operator is not necessary in a scanf to accept input for an individual array element when using the indexing technique,
1,The Adhan is the Islamic call to prayer,
0,The adjustments which follow a major earthquake often generate small earthquakes called foreshocks,
1,The administration and operation of public education are primarily the responsibility of each state.,
0,the adoption agreement is sent the participants of the plan,
1,The adoption agreement specifies a selection of features available in a qualified plan,
1,The adoption agreement specifies certain features of a qualified plan,
0,The ADP test applied to defined benefit plans,
0,The ADP test applies defined benefit plans,
1,the airline industry is an example of an oligopoly,
0,The allowance for doubtful accounts is similar to accumulated depreciation in that the account represents the total of all accounts written-off since the beginning year,
1,The amount of energy a photon carries depends on its wavelength,
1,The amount of food a person eats is not as important as the right variety of foods,
0,The amount of motion that occurs along a fault is termed the fault gouge,
0,The AND and OR operator share the same level of operator precedence,
1,The area beyond a z score of -1.12 is the same as the area beyond a z score of 1.12,
1,the art of combining two or more simultaneous melodic lines is called counterpoint,
1,The ATP hydrolysis reaction is exothermic,
0,The average number of children in a classroom is an example of a discrete variable,
1,The average price aggregate output is called price level.,
0,The average U.S. workweek is slightly longer than it was a century ago; this has an increase in the GDP and in our standard of living.,
1,The backslash is known as an escape character,
1,The best measure of an economy's standard of living is output per person.,
0,The best way for students to get computer access is for every school to have a computer lab.,
1,The best way to control the effects of the biases is to be aware of them at the start of research.,
0,The Beta particle was the main particle used in the gold foil experiment,
1,The binary searching algorithm can be modified to work with an array that has been sorted from largest (at index zero) to smallest (at index SIZE - 1),
0,The binary searching algorithm should always be used for searching,
0,The binary searching algorithm will always find a target in a n array faster than the linear searching algorithm,
1,The binary searching algorithm will terminate when the first variable is greater than the last,
0,The binomial distribution can be used when there are three outcomes on each trial,
1,The binomial distribution is a discrete distribution,
0,The binomial distribution is always symmetrical,
1,The binomial distribution is an example of a sampling distribution,
0,The binomial distribution only applies to flipping coins and not to real life situations,
0,The binomial distribution only applies to situations where P = 0.50,
0,The body does not store fat soluble vitamins,
1,The broken window thesis suggests that physical deterioration of a neighborhood can affect crime.,
0,The bugle has a wide range of pitches due to its valves,
0,The burial of Jesus was rushed because of Pilate's orders,
1,the business model of all social media websites is built on advertising revenues,
0,"The called function cannot tell whether the value it receives comes from an array, an individual variable, or an expression that evaluates to the expected type",
1,The called function must declare a special type of variable known as a pointer to store a memory address that is sent from the calling function,
1,The Cambodian Holocaust killed 90% of the Christians.,
0,The capital of the northern kingdom is Judah,
1,The case label represents an integral type value that is a possible result of the control expression,
0,The caste system has virtually disappeared in India.,
0,The Catholic Church banned the work of Ulrich von Hutton.,
1,The cell membrane has a capacitance that is analogous to that of a parallel plate capacitor,
1,The change in entropy is equal to the heat added to a system divided by the temperature at which the heat is added,
0,The change in the level of organization or disorganization of reactants and products is described by the internal energy change of the process,
1,The change in the relative price--the price of one good relative to the other prices of other goods--causes the substitution effect.,
1,The chaperone proteins keep the proteins from folding,
1,The Charismatic movement is very active in the Columbian Catholic Church.,
1,The Chicago Area Project focused on reducing delinquency in transitional neighborhoods.,
1,The Christian Church in Cuba is growing.,
0,The Christian church is growing in the Philippines but not as fast as the birth rate.,
1,The church in Congo-DRC has gained in stature because it is the only viable national structure to have endured the chaos of the past few decades.,
1,The church of Columbia is growing.,
1,The client's desired standard of living in retirement is a critical factor in the planning process,
1,The closing stage of a conversation usually signals some degree of supportiveness,
1,The coefficient of determination equals the proportion of variability accounted for by the relationship between the variables,
0,The coefficient of each element should be the same on both sides of the equation,
1,"The collision theory states that atoms, ions, and molecules must collide in order to react",
1,THe command to create a defined constant is usualyl places the beginning of the program,
1,The command to read the MATLAB assignment header into your program while in vi is hmlb,
0,The compatibilist claims that a voluntary action is one which lacks determining causes.,
0,The compatibilist claims that we are not 100% determined in our behavior.,
0,"The compatibilist claims that your desires, values, and motives play no role in explaining your behavior.",
1,The complement of the equal operator is the not equal operator,
0,The complement of the greater than operator is the not equal operator,
1,THe compliler will issue a warning when an assignment operator rather than the equality operator is used as the logical expression of an if condition,
0,The compound assignment operator (/=) has a higher level of precedence than the addition operator,
0,The concept of statistical power applies only to the sign test,
1,The conditional expression has three operands and two operators,
0,The conflict management strategies people choose are generally not influenced by their family histories.,
